"name_tbl","name_fld","format_4_05","format_4_06","is_active_format_4_06"
s_individual_entrepreneur_registrator_info,svregorg_grnipdata_grnip,,Файл^Документ^СвИП^СвРегОрг^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_registration_info,svregip_dataogrnip,,Файл^Документ^СвИП^СвРегИП^@ДатаОГРНИП,true
s_individual_entrepreneur_registrator_info,svregorg_adrro,,Файл^Документ^СвИП^СвРегОрг^@АдрРО,true
s_individual_entrepreneur_registrator_info,svregorg_kodno,,Файл^Документ^СвИП^СвРегОрг^@КодНО,true
,,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^Улица^@ТипУлица,true
,,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^Улица^@НаимУлица,true
s_individual_entrepreneur_registrator_info,svregorg_naimno,,Файл^Документ^СвИП^СвРегОрг^@НаимНО,true
s_individual_entrepreneur_egrip_history,hash_diff,,hash_func,true
s_individual_entrepreneur_address_info,svadrmj_adresrf_kodregion,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^@КодРегион,true
s_individual_entrepreneur_address_info,svadrmj_adresrf_gorod_naimgorod,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^Город^@НаимГород,true
s_individual_entrepreneur_address_info,svadrmj_adresrf_gorod_tipgorod,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^Город^@ТипГород,true
s_individual_entrepreneur_address_info,svadrmj_adresrf_naselpunkt_naimnaselpunkt,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^НаселПункт^@НаимНаселПункт,true
s_individual_entrepreneur_address_info,svadrmj_adresrf_naselpunkt_tipnaselpunkt,,Файл^Документ^СвИП^СвАдрМЖ^АдресРФ^НаселПункт^@ТипНаселПункт,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_idnom,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^@ИдНом,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_indeks,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^@Индекс,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_region,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^@Регион,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_region_naimregion,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^@НаимРегион,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_rajon_naimrajon,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^МуниципРайон^@Наим,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_rajon_vidkod,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^МуниципРайон^@ВидКод,true
s_individual_entrepreneur_address_fias_info,svadrmj_adresmjfias_gorodselposel_naim,,Файл^Документ^СвИП^СвАдрМЖ^АдрМЖФИАС^ГородСелПоселен^@Наим,true
,,,Файл^Документ^СвИП^СвАдрМЖ^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвАдрМЖ^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвАдрЭлПочты^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвАдрЭлПочты^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвРегИП^СвКФХ^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвРегИП^СвКФХ^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвГлКФХ^@ТекстГлКФХ,true
,,,Файл^Документ^СвИП^СвГлКФХ^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвГлКФХ^ГРНИПДата^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвГлКФХ^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвГлКФХ^ГРНИПДатаИспр^@ДатаЗаписи,true
s_individual_entrepreneur_registrator_info,svregorg_grnipdata_valid_from,,Файл^Документ^СвИП^СвРегОрг^ГРНИПДата^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвСтатус^СвРешИсклИП^@ДатаРеш,true
,,,Файл^Документ^СвИП^СвСтатус^СвРешИсклИП^@НомерРеш,true
,,,Файл^Документ^СвИП^СвСтатус^СвРешИсклИП^@ДатаПубликации,true
,,,Файл^Документ^СвИП^СвСтатус^СвРешИсклИП^@НомерЖурнала,true
,,,Файл^Документ^СвИП^СвПрекращ^СвНовЮЛ^@ОГРН,true
,,,Файл^Документ^СвИП^СвПрекращ^СвНовЮЛ^@ИНН,true
,,,Файл^Документ^СвИП^СвПрекращ^СвНовЮЛ^@НаимЮЛПолн,true
,,,Файл^Документ^СвИП^СвПрекращ^СвНовЮЛ^@ГРНИПДата,true
,,,Файл^Документ^СвИП^СвПрекращ^СвНовЮЛ^@ГРНИПДатаИспр,true
s_individual_entrepreneur_is_liquidated_info,svprekras_grnipdata_grnip,,Файл^Документ^СвИП^СвПрекращ^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_pension_fund_info,svregpf_grnipdata_grnip,,Файл^Документ^СвИП^СвРегПФ^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвУчетНО^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвУчетНО^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвРегПФ^@ДатаПрисвНом,true
s_individual_entrepreneur_social_insurance_fund_info,svregfss_grnipdata_grnip,,Файл^Документ^СвИП^СвРегФСС^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_state_info,svstatus_grnipdata_grnip,,Файл^Документ^СвИП^СвСтатус^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвРегПФ^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвРегПФ^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвРегФСС^ДатаПрисвНом^@,true
,,,Файл^Документ^СвИП^СвРегФСС^@ДатаСнРег,true
s_individual_entrepreneur_main_info,vid_ip_name,,Файл^Документ^СвИП^@НаимВидИП,true
s_individual_entrepreneur_tax_authority_registration_info,svucetno_grnipdata_valid_from,,Файл^Документ^СвИП^СвУчетНО^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_is_liquidated_info,svprekras_svstatus_dataprekras,,Файл^Документ^СвИП^СвПрекращ^СвСтатус^@ДатаПрекращ,true
s_individual_entrepreneur_is_liquidated_info,svprekras_svstatus_kodstatus,,Файл^Документ^СвИП^СвПрекращ^СвСтатус^@КодСтатус,true
,,,Файл^Документ^СвИП^СвРегФСС^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвРегФСС^ГРНИПДатаИспр^@ДатаЗаписи,true
s_individual_entrepreneur_is_liquidated_info,svprekras_svstatus_naimstatus,,Файл^Документ^СвИП^СвПрекращ^СвСтатус^@НаимСтатус,true
s_individual_entrepreneur_pension_fund_info,svregpf_regnompf,,Файл^Документ^СвИП^СвРегПФ^@РегНомПФ,true
s_individual_entrepreneur_social_insurance_fund_info,svregfss_datareg,,Файл^Документ^СвИП^СвРегФСС^@ДатаРег,true
s_individual_entrepreneur_social_insurance_fund_info,svregfss_regnomfss,,Файл^Документ^СвИП^СвРегФСС^@РегНомФСС,true
s_individual_entrepreneur_state_info,svstatus_svstatus_naimstatus,,Файл^Документ^СвИП^СвСтатус^СвСтатус^@НаимСтатус,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^@ДопСведОКВЭД,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^@Процент,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^ГРНИПДата^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^СвДоляОКВЭД^ГРНИПДатаИспр^@ДатаЗаписи,true
s_individual_entrepreneur_state_info,svstatus_svstatus_kodstatus,,Файл^Документ^СвИП^СвСтатус^СвСтатус^@КодСтатус,true
s_individual_entrepreneur_address_info,svadrmj_grnipdata_grnip,,Файл^Документ^СвИП^СвАдрМЖ^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_tax_authority_registration_info,svucetno_grnipdata_grnip,,Файл^Документ^СвИП^СвУчетНО^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_okveds_info,hash_diff,,hash_func,true
s_individual_entrepreneur_pension_fund_info,svregpf_datareg,,Файл^Документ^СвИП^СвРегПФ^@ДатаРег,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^ГРНИПДатаИспр^@ГРНИП,true
s_individual_entrepreneur_tax_authority_registration_info,svucetno_datapostuc,,Файл^Документ^СвИП^СвУчетНО^@ДатаПостУч,true
s_individual_entrepreneur_is_liquidated_info,svprekras_grnipdata_valid_from,,Файл^Документ^СвИП^СвПрекращ^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_tax_authority_registration_info,svucetno_innfl,,Файл^Документ^СвИП^СвУчетНО^@ИННФЛ,true
s_individual_entrepreneur_address_info,svadrmj_grnipdata_valid_from ,,Файл^Документ^СвИП^СвАдрМЖ^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_state_info,svstatus_grnipdata_valid_from,,Файл^Документ^СвИП^СвСтатус^ГРНИПДата^@ДатаЗаписи,true
s_individual_entrepreneur_pension_fund_info,svregpf_grnipdata_valid_from,,Файл^Документ^СвИП^СвРегПФ^ГРНИПДата^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^@ДопСведОКВЭД,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^@Процент,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^ГРНИПДата^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^СвДоляОКВЭД^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвЛицензия^@НомерЕРУЛ,true
,,,Файл^Документ^СвИП^СвЛицензия^@ДатаОкончЛиц,true
,,,Файл^Документ^СвИП^СвЛицензия^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЛицензия^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^@ДатаПриостЛиц,true
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^@ЛицОргПриостЛиц,true
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^ГРНИПДата^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^ГРНИПДата^@ДатаЗаписи,true
